Subject Title,Subject Code
Global French Studies (Advanced),FREN30024
Global Francophone Cities,FREN30026
French IV: Honours Language I,FREN40005
French Thesis Part 2,FREN40011
Graduate French A,FREN90003
Graduate French B,FREN90004
Fire in the Australian Landscape,FRST20015
Forest Systems,FRST30001
Urban Forest Ecosystems,FRST30003
Landscape Ecology,FRST90015
Ecosystem Processes of Water and Soil,FRST90022
Patterns and Processes of Landscape Fire,FRST90025
Ecosystems in a Changing Climate,FRST90032
Farm Trees & Agroforestry,FRST90033
Ecological Restoration,FRST90034
Short Research Project B,FRST90076
Long Research Project B,FRST90077
Conserving and Managing Native Forests,FRST90078
Graphic Design Studio 1: Image & Text,GDES10001
Graphic Design Studio 2: Image & Media,GDES20001
Colour Studio,GDES20002
Infographics Studio,GDES30001
Branding,GDES30002
Graphic Design Studio 3,GDES30003
Design Visualisation: Analogue,GDES30004
Typography in Practice,GDES30005
Word as Image in Space and Time,GDES30006
Imagery in Graphic Design,GDES30007
Interactive Media,GDES30008
"Sex, Gender and Culture",GEND10001
"Global Intersections:Gender, Race, Class",GEND10002
"Gender, Sexuality and Power",GEND20001
Feminist Futures: Theory and Activism,GEND20008
Technologies of Sex,GEND20010
Gender at Work in The World,GEND30003
Gender Diversity in the Workplace,GEND30005
"Trauma, Memory, Bodies",GEND30006
Trans Studies: Cultures and Communities,GEND30007
Gender in Cross-Cultural Perspective,GEND40003
Gender Studies Research Methods,GEND40005
Gender Studies Thesis Part 1,GEND40006
Gender Studies Thesis Part 2,GEND40007
Queer Studies: Identities & Sexualities,GEND40008
Feminist & Queer Perspectives on Science,GEND40009
"Gender, Globalisation and Development",GEND90006
Rethinking Rights and Global Development,GEND90007
Gender and Development Thesis Part 1,GEND90011
Researching Violence Against Women,GEND90015
Genetics in the Media,GENE10001
Foundations of Genetics and Genomics,GENE20001
Applications of Genetics and Genomics,GENE20004
Evolutionary Genetics and Genomics,GENE30001
Genes: Organisation and Function,GENE30002
Genetic Analysis,GENE30004
Human Genetics & Genomics in Healthcare,GENE90001
Clinical Genomics,GENE90002
 Current Genetics: Cells and Development,GENE90020
Advanced Clinical Genomics 1,GENE90021
Advanced Clinical Genomics 2,GENE90022
Frontiers in Genomics 2,GENE90024
Clinical Genome Variant Analysis 2,GENE90025
Clinical Genome Variant Analysis 1,GENE90026
Frontiers in Genomics 1,GENE90027
Primary Care Research Project Part 1,GENP40000
Primary Care Research Project Part 2,GENP40001
Introduction to Primary Care Research,GENP40002
Nurse Immuniser,GENP90017
Preventive Health Care,GENP90021
Famine: The Geography of Scarcity,GEOG10001
Landscape Information Systems,GEOG10002
Global Youth,GEOG10003
Society and Environments,GEOG20001
Landscapes and Environmental Change,GEOG20002
Environmental Politics and Management,GEOG20003
Inside the City of Diversity,GEOG20008
Global Inequalities In The Anthropocene,GEOG20011
Post-Conflict Development and Difference,GEOG20012
Health Geography,GEOG20013
Environmental Change & the Human Journey,GEOG20015
"Fertility, Mortality and Social Change",GEOG20016
Spatial Analysis in Geography,GEOG20017
Geomorphology: Catchment to Coast,GEOG30001
Sustainable Development,GEOG30019
The Disaster Resilient City,GEOG30021
Global Climate Change in Context,GEOG30023
"Africa: Environment, Development, People",GEOG30024
Biogeography and Ecology of Fire,GEOG30025
Mobile Worlds,GEOG30028
Geographies of Migration,GEOG30029
Spatial Modelling for Nature and People,GEOG30030
Arid Australia Field Class,GEOG30033
Geography Honours Research Project Pt1,GEOG40009
Geography Honours Research Project Pt2,GEOG40010
Integrated River & Catchment Management,GEOG90003
Geography Research Project,GEOG90010
Geography Research Project,GEOG90011
Geography Research Project,GEOG90012
Geography Research Project,GEOG90013
Geography Research Project,GEOG90015
Contemporary Geographical Thought,GEOG90018
Participatory Risk Management,GEOG90020
Conservation and Cultural Environments,GEOG90021
International Internship in Environment,GEOG90022
Global Climate Change In Context,GEOG90026
Biogeography and Ecology of Fire,GEOG90027
Geography Practical,GEOG90028
Research Methods in Geography,GEOG90029
Geography Minor Research Project Part 1,GEOG90030
Geography Minor Research Project Part 1,GEOG90031
Geography Minor Research Project Part 2,GEOG90032
Geography Minor Research Project Part 2,GEOG90033
Geography Research Project Part 1,GEOG90036
Geography Research Project Part 2,GEOG90040
Geography Research Project Part 3,GEOG90045
Geography Research Project Part 3,GEOG90046
Geography Research Project Part 4,GEOG90051
Geology of Southeast Australia,GEOL20001
Investigating Earth's Structure,GEOL20002
"Building Earth: Rocks, Minerals, Magmas",GEOL20003
Tectonics and Geophysics,GEOL30002
Sedimentary Geology and Hydrogeology,GEOL30003
Geochemistry,GEOL30004
Geobiology,GEOL30007
Field Geology,GEOL30009
Hydrogeology/Environmental Geochemistry,GEOL90005
Practical Earth Science A,GEOL90022
Practical Earth Science B,GEOL90023
Project In Geoscience,GEOL90024
Research Project In Geoscience,GEOL90025
Advanced Structural Mapping,GEOL90027
Geochronology and Thermochronology,GEOL90028
Ore Reserve Estimation,GEOL90031
Introduction to Mineralogy,GEOL90032
Mine Safety and Engineering,GEOL90033
Exploration Field Skills,GEOL90045
Environmental Geology Field Techniques,GEOL90046
Precious Metal and Magmatic Ore Deposits,GEOL90052
Applying Digital Infrastructure,GEOM20013
Sensing and Measurement,GEOM20015
Imaging the Environment,GEOM30009
Digital Infrastructure Systems Capstone,GEOM30012
Integrating Digital Infrastructure,GEOM30014
PhD Research,GEOM80002
Remote Sensing,GEOM90005
Spatial Data Analytics,GEOM90006
Information Visualisation,GEOM90007
Spatial Data Management,GEOM90008
MPhil Research,GEOM90026
Positioning Principles and Technologies,GEOM90033
Advanced Imaging,GEOM90038
Cadastral Surveying,GEOM90041
Geographic Information Systems,GEOM90044
German 3,GERM10001
German 4,GERM10002
German 1,GERM10004
German 2,GERM10005
German 5,GERM10006
German 6,GERM10007
German 7,GERM10008
German 8,GERM10009
German 7,GERM20001
German 8,GERM20002
German Cultural Studies B,GERM20003
German 3,GERM20004
German 4,GERM20005
German Cultural Studies A,GERM20006
German 5,GERM20007
German 6,GERM20008
German 9,GERM20009
German 10,GERM20010
Berlin and Beyond,GERM20011
German Cultural Studies B,GERM30001
German Cultural Studies C,GERM30002
German 9,GERM30003
German 10,GERM30004
German 5,GERM30005
German 6,GERM30006
German 7,GERM30021
Berlin and Beyond,GERM30024
Staging German,GERM30025
German Honours Language,GERM40010
German Thesis Part 1,GERM40016
German Thesis Part 2,GERM40017
Graduate German A,GERM90003
Graduate German B,GERM90004
Hebrew 1,HEBR10001
Hebrew 2,HEBR10002
Hebrew 3,HEBR10005
Hebrew 4,HEBR10006
Hebrew 5,HEBR10011
Hebrew 6,HEBR10012
Hebrew 3,HEBR20005
Hebrew 4,HEBR20006
Hebrew 5,HEBR20007
Hebrew 6,HEBR20008
Hebrew 7,HEBR20016
Hebrew 8,HEBR20017
Hebrew 5,HEBR30003
Hebrew 6,HEBR30004
Hebrew 7,HEBR30016
Hebrew 8,HEBR30017
Hebrew 9,HEBR30018
Hebrew 10,HEBR30019
Dictators & Democrats: The Modern World,HIST10015
Europe: From Black Death to New Worlds,HIST10016
"Gender, Rights, and Power in History",HIST10017
Modern Southeast Asia,HIST20034
"Slavery & Freedom: US History, 1763-1945",HIST20059
Total War: World War II,HIST20060
Rebels and Revolutionaries,HIST20065
The French Revolution,HIST20068
"Protest & Politics: US History, 1945-Now",HIST20071
China in Global History since 1945,HIST20086
City Visions: Melbourne Intensive,HIST20087
Britain's Empire: Power and Resistance,HIST20089
"Gender in History, 1800 to the Present",HIST20090
Migrant Nation: History Culture Identity,HIST20091
Hitler's Germany and Fascism,HIST30010
Making History,HIST30060
US and the World: Rise of a Superpower,HIST30065
Cold War Cultures in Asia,HIST30066
A History of Violence,HIST30068
Stalinism,HIST30076
"Global Diasporas, Hellenic Cultures",HIST30077
History for Historians,HIST40030
History Thesis Part 1,HIST40039
MA Research,HIST70005
PhD Research,HIST80001
The Writing of Australian History,HIST90023
International Relations Thesis Part 2,HIST90035
Russia and the World,HIST90037
MDHS Honours Elective Internship,HLTH40001
Health Behaviour Change,HLTH90001
Practice Based Research,HLTH90002
Psychosocial Oncology,HLTH90003
Health & Human Services Research Project,HLTH90004
Service Navigation Theory,HLTH90010
Research Project in Human Genomics 1,HLTH90011
Genomics and Health Internship,HLTH90012
Research Project in Human Genomics 2,HLTH90013
Healthcare Research-Principles & Designs,HLTH90014
Indigenous Health and Nursing,HLTH90019
Biomedical Enterprise Research to Impact,HLTH90021
Plant Production and Establishment,HORT90004
Horticultural Plant Science,HORT90008
Plants in the Landscape,HORT90033
Landscape Design,HORT90034
Landscape Documentation,HORT90035
Food Production for Urban Landscapes,HORT90038
Green Infrastructure for Liveable Cities,HORT90039
Tree Growth and Function,HORT90041
Tree Identification and Selection,HORT90043
Plant Health,HORT90044
Urban Horticulture Issues & Perspectives,HORT90048
Plato to Einstein: A History of Science,HPSC10001
"Science, Philosophy and Society",HPSC10002
A History of Nature,HPSC20002
Technology & Contemporary Life,HPSC20009
Astronomy in World History,HPSC20015
God and the Natural Sciences,HPSC20020
Sex and Gender in the Sciences,HPSC20023
Debating Science in Society,HPSC20024
Philosophy of Science,HPSC20026
Minds and Madness,HPSC30019
Science and Society,HPSC30023
"Magic, Reason and Science, 1450-1750",HPSC30034
The Dynamics of Scientific Change,HPSC30035
Copernicus to Darwin: A Cultural History,HPSC30037
History and Philosophy of Science,HPSC40016
HPS Thesis Part 1,HPSC40018
Environment and Knowledge,HPSC90010
"Trust, Communication and Expertise",HPSC90012
"Science, Controversy and Public Policy",HPSC90013
International Business Experience,IBUS20007
Global Strategy,IBUS90001
Managing in Asia,IBUS90002
The Multinational,IBUS90003
Cross Cultural Management and Teamwork,IBUS90004
Business in Asia,IBUS90005
International Business Experience,IBUS90007
Global Value Chains,IBUS90008
Indigenous Australia,INDG10001
First Peoples in a Global Context,INDG10002
Indigenous Treaties and Titles,INDG20001
Indigenous People & Ecological Collapse,INDG20002
Aboriginal Women: Activism & Leadership,INDG20003
Racial Literacy: Indigeneity & Whiteness,INDG20004
Being Indigenous in the 21st Century,INDG30001
Indigenous Cultural Heritage,INDG30002
Indigenous First Principles,INDG40001
Reading Indigenous Australia,INDG40002
Indigenous Studies Thesis Pt1,INDG40003
Indigenous Studies Thesis Pt2,INDG40004
Writing Ethical Indigenous Histories,INDG40005
Enacting Influence,INDG90002
Disruption and Change,INDG90003
Collaborative Fieldwork,INDG90004
Indigenous Leadership,INDG90005
Powerful Encounters,INDG90006
Indigenous Social Change Project,INDG90007
Indonesian 5,INDO10003
Indonesian 6,INDO10004
Indonesian 1,INDO10005
Indonesian 2,INDO10006
Diversity: Identities in Indonesia,INDO10011
Indonesian Literature and Film,INDO10012
Translation: Intercultural Indonesian,INDO10013
Indonesia in the World,INDO10014
Yogyakarta Summer Intensive,INDO20001
Indonesian 3,INDO20006
Indonesian 4,INDO20007
Indonesian 5,INDO20008
Indonesian 6,INDO20009
Diversity: Identities in Indonesia,INDO20014
Indonesian Literature and Film,INDO20015
Translation: Intercultural Indonesian,INDO20016
Indonesia in the World,INDO20017
Indonesian Politics and Society,INDO20018
Indonesian Literature and Film,INDO30006
Indonesian 6,INDO30007
Indonesian 5,INDO30011
Diversity: Identities in Indonesia,INDO30018
Translation: Intercultural Indonesian,INDO30019
Indonesia in the World,INDO30020
"Indonesian Visions, Global Partnerships",INDO30021
Honours Indonesian A,INDO40001
Honours Indonesian B,INDO40002
Topics in Indonesian Studies,INDO40003
Indonesian Thesis Part 1,INDO40008
Indonesian Thesis Part 2,INDO40009
Graduate Indonesian A,INDO90002
Graduate Indonesian B,INDO90003
Fundamentals of Interaction Design,INFO10003
Database Systems,INFO20003
Usability Evaluation Methods,INFO20004
User Interface Development,INFO20005
Advanced Interface Prototyping,INFO30005
Information Security and Privacy,INFO30006
Interactive Technology Project,INFO30008
Game Design,INFO30009
Digital Health and Informatics Methods,INFO90001
Database Systems & Information Modelling,INFO90002
Designing Novel Interactions,INFO90003
Evaluating the User Experience,INFO90004
Fieldwork for Design,INFO90006
Social Computing,INFO90007
User Experience Design Project,INFO90009
Technology Innovation Project,INFO90010
Applied Learning Health Systems,INFO90011
International Politics,INTS10001
Rising China in the Globalised World,INTS90007
Islam in the Modern World,ISLM10002
Understanding Islam and Muslim Societies,ISLM10003
The Qur'an: An Introduction,ISLM20003
Politics: Middle East and South Asia,ISLM20015
Spirituality in Islam,ISLM20016
Islam and Ethics: Doctrines and Debates,ISLM30003
Diplomacy: Middle East and South Asia,ISLM30018
Islam and Gender,ISLM30021
Topics in Arabic & Islamic Studies,ISLM40001
Islamic Studies Thesis Part 1,ISLM40011
Islamic Studies Thesis Part 2,ISLM40012
Contemporary Middle East and South Asia,ISLM90007
PhD Research,ISYS80001
Concepts in Information Systems,ISYS90026
Emerging Technologies and Issues,ISYS90032
Knowledge Management Systems,ISYS90035
Enterprise Systems,ISYS90036
IS Strategy and Governance,ISYS90038
Digital Innovation & Technopreneurship,ISYS90039
Enterprise Applications & Architectures,ISYS90043
Professional IS Consulting,ISYS90045
Digital Business Analysis,ISYS90049
IT Project and Change Management,ISYS90050
Digital Impacts on Business and Society,ISYS90051
Digital Transformation of Health,ISYS90069
IT Infrastructure for Digital Health,ISYS90076
Structuring and Managing Patient Data,ISYS90078
Business Process Management,ISYS90081
Strategic Change Leadership,ISYS90089
Cyber Security Management,ISYS90090
Info Systems Capstone Research Proj Pt 1,ISYS90109
Info Systems Capstone Research Proj Pt2,ISYS90110
Business Process Analytics,ISYS90112
Information Systems Res Project Pt 1,ISYS90113
Information Systems Res Project Pt 2,ISYS90114
Information Systems Res Project Pt 3,ISYS90115
Information Systems Res Project Pt 4,ISYS90116
Managing Business Analytics,ISYS90117
Skills for IS Research and Development,ISYS90118
Information Systems Capstone Project,ISYS90119
Italian 3,ITAL10001
Italian 4,ITAL10002
Italian 1,ITAL10004
Italian 2,ITAL10005
Italian 5,ITAL10006
Italian 6,ITAL10007
Italian 1 (Intensive),ITAL10008
Italian 7,ITAL10009
Italian 8,ITAL10010
Italian Cultural Studies B,ITAL20001
Italian 7,ITAL20002
Italian 8,ITAL20003
Contemporary Italy Study Abroad,ITAL20004
Italian 3,ITAL20007
Italian 4,ITAL20008
Italian Cultural Studies A,ITAL20009
Italian 6,ITAL20010
Italian 5,ITAL20011
Italian 9,ITAL20012
Italian 9,ITAL30001
Italian 5A,ITAL30003
Italian Fictions,ITAL30006
To Hell with Dante,ITAL30007
Italian 5,ITAL30013
Italian 6,ITAL30014
Italian 7,ITAL30015
Italian 8,ITAL30016
Italian Honours Language Seminar 1,ITAL40001
Italian Thesis Part 1,ITAL40015
Italian Thesis Part 2,ITAL40016
Graduate Italian A,ITAL90003
Graduate Italian B,ITAL90004
Japanese 1,JAPN10001
Japanese 2,JAPN10002
Japanese 5,JAPN10003
Japanese 6,JAPN10004
Japanese 7,JAPN10005
Japanese 8,JAPN10006
Japanese 3,JAPN10007
Japanese 4,JAPN10008
Reading Japanese Literature,JAPN10009
Variation in Japanese Language,JAPN10010
Introduction to Japanese Communication,JAPN20002
Japanese 7,JAPN20003
Japanese 8,JAPN20004
Contemporary Japan,JAPN20005
Japanese 3,JAPN20007
Japanese 4,JAPN20008
Signs and Symbols in Japanese,JAPN20009
Japanese Grammar in Action,JAPN20010
Reading Japanese Literature,JAPN20011
Variation in Japanese Language,JAPN20012
Japanese 5,JAPN20013
Japanese 6,JAPN20014
Japanese Through the Media,JAPN20018
Social Problems in Japan,JAPN30002
Japanese through the Media,JAPN30004
Japanese 7,JAPN30005
Japanese 8,JAPN30006
Japanese 5,JAPN30007
Japanese 6,JAPN30008
Reading Japanese Literature,JAPN30011
Variation in Japanese Language,JAPN30012
Japanese Grammar in Action,JAPN30013
Honours Japanese A,JAPN40001
Topics in Japanese Studies,JAPN40003
Japanese Thesis Part 2,JAPN40009
Graduate Japanese A,JAPN90002
Graduate Japanese B,JAPN90003
"Israelis & Palestinians: Conflict, Peace",JEWI20006
Modern Israel: Good Bad and Disputed,JEWI20007
Research in Contemporary Jewish Studies,JEWI30005
Researching/Writing Stories,JOUR90001
Journalism Internship,JOUR90003
New Media Storytelling,JOUR90004
Audio Journalism,JOUR90005
Dilemmas in Journalism: Law and Ethics,JOUR90006
Video Journalism,JOUR90008
Advanced Non Fiction Writing,JOUR90009
Newsroom-Applied Professional Practice,JOUR90010
Data Journalism,JOUR90011
Investigative Journalism,JOUR90013
Journalism Thesis Part 1,JOUR90015
International Journalism - Key Skills,JOUR90020
Photojournalism,JOUR90022
International Business Journalism,JOUR90023
Advanced Audio: Podcasting,JOUR90024
Journalism Project Part 1,JOUR90025
Journalism Project Part 2,JOUR90026
Korean 1,KORE10001
Korean 2,KORE10002
Korean 3,KORE10003
Korean 4,KORE10004
Korean 5,KORE10005
Korean 6,KORE10006
Contemporary Korea,KORE20002
Korean 3,KORE20003
Korean 4,KORE20004
Korean 5,KORE20005
Korean 6,KORE20006
Korean Politics and Society,KORE30001
Two Koreas in the World,KORE30002
Korean 6,KORE30004
Language,LANG10001
Seminar in Languages 1,LANG40003
Seminar in Languages 2,LANG40004
Natural History,LARC10001
Designing Living Systems,LARC20001
Site Tectonics,LARC30001
Interpreting Australian Landscape Design,LARC30002
"Science, Technology and the Law",LAWS10008
"AI, Ethics and the Law",LAWS10009
Global Human Rights Law,LAWS20012
Intellectual Property Law,LAWS20014
Public Trials,LAWS30024
Legal Method and Reasoning,LAWS50023
Principles of Public Law,LAWS50024
Torts,LAWS50025
Obligations,LAWS50026
Constitutional Law,LAWS50028
Contracts,LAWS50029
Property,LAWS50030
Legal Theory,LAWS50031
Administrative Law,LAWS50032
Equity and Trusts,LAWS50033
Criminal Law and Procedure,LAWS50034
Corporations Law,LAWS50035
Remedies,LAWS50036
Evidence and Proof,LAWS50037
Legal Research,LAWS50039
Public International Law,LAWS50041
Jessup Moot,LAWS50042
Taxation Law and Policy,LAWS50046
Family Law,LAWS50047
Human Rights Law and Practice,LAWS50049
Cross-Border Litigation,LAWS50050
Advocacy,LAWS50055
Melbourne University Law Review,LAWS50058
Legal Internship,LAWS50059
Melbourne Journal of International Law,LAWS50060
Competition Law,LAWS50063
Employment Law,LAWS50064
Equality and Discrimination Law,LAWS50068
Trade Mark Law,LAWS50075
Environmental Law,LAWS50078
Construction Law,LAWS50084
International Commercial Law & Disputes,LAWS50094
Media Law,LAWS50096
Refugee Law,LAWS50101
"Mergers, Acquisitions & Capital Markets",LAWS50108
World Trade Organisation Law,LAWS50109
New Ideas in Legal Scholarship,LAWS50114
Public Interest Law Clinic,LAWS50116
Sports Law,LAWS50119
Sustainability Business Clinic,LAWS50126
Philosophical Foundations of Law,LAWS50127
Intellectual Property & Popular Culture,LAWS50128
Advanced Torts,LAWS50130
Negotiations,LAWS50131
Tax of Business and Investment Income,LAWS70002
Minor Thesis (LLM) # P/T,LAWS70003
"International Tax: Principles, Structure",LAWS70006
Corporate Tax B,LAWS70008
Comparative Corporate Tax,LAWS70009
Commercial Applications of Equity,LAWS70011
Minor Thesis F/T LLM,LAWS70015
Alternative Dispute Resolution,LAWS70018
Class Actions,LAWS70019
Patent Law,LAWS70021
Corporate Tax A,LAWS70024
International Trade Law,LAWS70028
Goods and Services Tax,LAWS70031
International Criminal Law,LAWS70033
Superannuation Law,LAWS70036
Trade Marks and Unfair Competition,LAWS70046
Taxation of Small and Medium Enterprises,LAWS70049
Workplace Health and Safety,LAWS70053
Patent Practice,LAWS70060
Interpretation and Validity of Patents,LAWS70061
International Legal Internship,LAWS70067
Environmental Law,LAWS70068
Expert Evidence,LAWS70073
International Law and the Use of Force,LAWS70078
"Online Streaming, Film and TV Law",LAWS70080
Capital Gains Tax: Problems in Practice,LAWS70081
Privacy Law,LAWS70082
Human Rights and Terrorism,LAWS70091
International Law and Development,LAWS70093
Environmental Law,LAWS70100
Principles of Corporate Law,LAWS70107
International Financial System,LAWS70110
Remedies in the Construction Context,LAWS70112
Public Private Partnerships Law,LAWS70113
International Law and Children's Rights,LAWS70120
International Commercial Arbitration,LAWS70121
International Taxation in the US,LAWS70124
International Financial Transactions,LAWS70125
Advanced Construction Law,LAWS70128
Construction Dispute Resolution,LAWS70133
Comparative Corporate Governance,LAWS70134
International Construction Law,LAWS70139
Accounting for Commercial Lawyers,LAWS70140
Tax Treaties,LAWS70146
Construction Risk,LAWS70149
Law and Global Health,LAWS70151
International Trade and Development,LAWS70169
International Law,LAWS70173
Construction Law,LAWS70176
New Media and Communications,LAWS70182
Criminalising Speech in the Internet Age,LAWS70184
Water Law & Natural Resources Management,LAWS70185
Human Rights Advocacy,LAWS70186
Corporate Governance & Directors' Duties,LAWS70190
Shareholders' Rights and Remedies,LAWS70193
Current Issues in Civil Litigation,LAWS70202
Transfer Pricing: Practice and Problems,LAWS70203
Project Finance,LAWS70205
Banking and Secured Finance,LAWS70206
Copyright Law,LAWS70207
Licensing Law and Technology Transfer,LAWS70209
Resources Joint Ventures,LAWS70210
Fundamentals of the Common Law,LAWS70217
International Environmental Law,LAWS70219
Medical Litigation,LAWS70225
Negligence,LAWS70229
Commercial Law in Asia,LAWS70230
International Humanitarian Law,LAWS70234
Payment Matters in Construction Projects,LAWS70239
Corporate Insolvency and Reconstruction,LAWS70240
Internat.Issues in Intellectual Property,LAWS70242
Avoid and Manage Construction Disputes,LAWS70245
International Human Rights Law,LAWS70264
Tax Litigation,LAWS70266
"Construction Contract Analysis, Drafting",LAWS70270
International Criminal Law and Justice,LAWS70303
Internat Investment Law and Arbitration,LAWS70304
International Economic Law,LAWS70308
Principles of Construction Law,LAWS70314
Public M&A: Schemes of Arrangement,LAWS70316
Tax Policy,LAWS70319
WTO Law and Dispute Settlement,LAWS70322
Foundations of Tax Law,LAWS70323
Residential Construction Law,LAWS70329
Taxation of Trusts,LAWS70333
Advanced Commercial Law: Current Issues,LAWS70336
International Law and Israel-Palestine,LAWS70344
Health Law: Patient Safety and the Law,LAWS70348
Management for Professionals,LAWS70350
Information Technology Contracting Law,LAWS70362
International Migration Law,LAWS70365
International Refugee Law,LAWS70366
Principles of Employment Law,LAWS70371
Australian Consumer Law,LAWS70380
Business and Human Rights,LAWS70382
Global Commercial Contract Law,LAWS70389
Human Rights at Work,LAWS70391
International Business Transactions,LAWS70392
Law of the Sea,LAWS70398
Remedies in Commercial Law,LAWS70402
Comparative Criminal Justice in Asia,LAWS70415
Hedge Funds and Private Equity Funds,LAWS70420
Regional Integration: The Case of the EU,LAWS70433
Managing Legal Risk in Construction,LAWS70441
Executive Power,LAWS70447
Global Perspectives on Construction Law,LAWS70450
Human Rights and Climate Change,LAWS70452
International Law and Relations,LAWS70455
Mental Health and Disability Law,LAWS70458
Sports Integrity and Investigations,LAWS70462
Construction Law,LAWS70469
Regulation of Biotechnology,LAWS90003
Law and Legal Practice in Asia,LAWS90006
Law and Indigenous Peoples,LAWS90008
International Tax: Advanced Topics,LAWS90017
Energy Resources in Emerging Markets,LAWS90020
Advanced Negotiations,LAWS90021
International Law and Geopolitics,LAWS90023
Planning and Building Sustainable Cities,LAWS90029
Law Apps,LAWS90033
Trade Mark Practice,LAWS90035
Legal Drafting,LAWS90036
Mediation,LAWS90039
Mineral and Petroleum Law,LAWS90043
Law of International Organisations,LAWS90047
Trade and Investment Law in China,LAWS90052
Comparative Health Law and Policy,LAWS90057
Business Negotiations and Deal-Making,LAWS90062
Regulating Global Markets,LAWS90063
Foundations: Competition Law & Economics,LAWS90065
Unilateral Conduct,LAWS90066
Consumer Protection,LAWS90070
Mergers,LAWS90072
Research Project (GCCL),LAWS90073
Copyright and Designs,LAWS90074
Patents and Trade Secrets,LAWS90075
Conducting Workplace Investigations,LAWS90086
"Trade, Investment, IP and Health",LAWS90092
International IP Dispute Settlement,LAWS90094
International Trade and Competition Law,LAWS90095
Major Project Delivery: Legal Interfaces,LAWS90099
New Technology Law,LAWS90107
Start-Up Law,LAWS90108
Regulation of FinTech,LAWS90110
Comparative Corporate Insolvency Law,LAWS90112
Mediation: Principles and Practice,LAWS90113
Negotiating Environmental Agreements,LAWS90114
"Space, High Seas, Seabed & Antarctic Law",LAWS90115
Law and Public Administration,LAWS90119
Gender and Human Rights,LAWS90124
Digital Trade,LAWS90126
Comparative Indigenous Rights,LAWS90127
Tax Administration,LAWS90130
Tax Treaties: International Perspectives,LAWS90132
Criminal Institutions,LAWS90136
Disputes and Ethics,LAWS90140
International Sustainable Finance,LAWS90144
Artificial Intelligence and the Law,LAWS90145
Biodiversity Law,LAWS90147
Corruption: A Global Approach,LAWS90149
Health Data Governance,LAWS90152
Current Issues in International Tax,LAWS90158
MLS Tax Clinic,LAWS90164
Regulating AI,LAWS90165
Blockchain and Cryptocurrency Law,LAWS90169
Bringing in the People,LAWS90170
Competition in Digital Markets,LAWS90171
Core Principles of Contract,LAWS90172
International Trade Remedies Law,LAWS90181
Advanced Trusts Law,LAWS90186
Consumer Law,LAWS90197
Pandemic Law and Practice,LAWS90199
Listed Company M&A in Practice,LAWS90201
Science & AI: Legal & Ethical Challenges,LAWS90203
Social Procurement Law and Policy,LAWS90206
Law of Construction Delay and Disruption,LAWS90208
Indigenous Legal Advocacy Clinic,LAWS90209
Law and Psychology,LAWS90210
Law and Civil Society in Asia,LAWS90212
Commercial Data Law,LAWS90213
Indigenous Law in Aotearoa and Australia,LAWS90214
Constitutions in Global Perspective,LAWS90218
Legal Leadership Essentials,LAWS90226
Rethinking Construction Contracting Risk,LAWS90229
Trusts Law in the Asia-Pacific Region,LAWS90230
Chinese Tax Law and Policy,LAWS90231
Global Digital Tax,LAWS90232
Tax of Innovation,LAWS90236
FinTech and Payments Law,LAWS90237
Superannuation Law and Policy,LAWS90239
Law and Automation,LAWS90240
Ageing and Human Rights,LAWS90242
Future Lawyer,LAWS90243
AI and Justice,LAWS90248
UN Law and Practice,LAWS90249
The Law and Economics of Globalisation,LAWS90251
Sustainable Resource Development,LAWS90252
Impact Investing: Driving Change,LAWS90254
Access to Justice on Country,LAWS90257
Executive Branch Research Lab,LAWS90258
Stateless Legal Clinic,LAWS90259
Making Sense of Statutes,LAWS90261
Clean Energy Projects Law and Regulation,LAWS90267
"Climate Law, Economics and Finance",LAWS90268
Comparative Press Freedom,LAWS90269
"International Law, Weapons & Disarmament",LAWS90270
Gender and Health Law,LAWS90271
International Development Finance Law,LAWS90272
"Labour Law, Climate Change and Trade",LAWS90273
Post-Conviction Remedies for Innocence,LAWS90275
Judicial Review and Indigenous Peoples,LAWS90276
Designing Effective Legislation,LAWS90277
ASEAN Competition Regime,LAWS90279
Work Law in Unionised Sectors,LAWS90280
Public Law Litigation & Comparative Law,LAWS90281
Constitutions and Culture,LAWS90282
"Statelessness, Citizenship, and Identity",LAWS90283
Legal Pluralism,LAWS90284
Privacy and the Media,LAWS90285
Legal AI: Design and Development,LAWS90286
Australian Merger Law,LAWS90287
Law of Export Controls & Trade Sanctions,LAWS90288
Asia-Pacific Comparative Consumer Law,LAWS90289
Commercial Aspects of International Law,LAWS90290
Contract Law in Asia,LAWS90291
Comparative Constitutional Law in Asia,LAWS90292
International Commercial Insurance Law  ,LAWS90293
International Economic Law & The Climate,LAWS90296
Intellectual Property Protection in Asia,LAWS90298
AI Law and Policy in Asia,LAWS90299
Comparative Corporate Governance in Asia,LAWS90301
Asian Constitutionalism and Development,LAWS90302
The Secret Life of Language,LING10001
Intercultural Communication,LING10002
Second Language Learning and Teaching,LING20003
Phonetics,LING20005
Syntax,LING20006
Language in Aboriginal Australia,LING20009
"Language, Society and Culture",LING20010
Grammar of English,LING20011
Exploring Linguistic Diversity,LING30001
Phonology,LING30002
Discourse & Pragmatics,LING30004
Morphology,LING30013
Australian Indigenous Languages,LING30014
Directed Reading Project,LING40001
Issues in Linguistic Research,LING40002
Seminars in Descriptive Linguistics,LING40009
Methods in Sociolinguistic Research,LING40013
